Tissue	Soil	family	gene	Symbol	Direction	Core	baseMean	log2FoldChange_SIvsMI	stderror	statistic	p.value	p.adjusted
Root	Biggs	LRR-RLK	LOC_Os01g60670	NA	Downregulated by MB	FALSE	89.9030465457216	-0.758911402437011	0.302669718765525	-2.50739124327443	0.0121626003832419	0.0465937566908351
Root	Biggs	LRR-RLK	LOC_Os01g65650	NA	Upregulated by MB	FALSE	1705.89748213731	0.772428326529101	0.301303462335641	2.56362247065268	0.010358614866273	0.0408402778067904
Root	Biggs	LRR-RLK	LOC_Os01g68870	NA	Downregulated by MB	TRUE	222.299283180834	-1.27524524658581	0.242540517895804	-5.25786477925169	1.4573761323588e-07	2.64067252782569e-06
Root	Biggs	NLR	LOC_Os01g72680	NA	Downregulated by MB	TRUE	183.640306735089	-2.45025040854881	0.278808818147171	-8.78828160756173	1.51864909811823e-18	1.70845014326085e-16
Root	Biggs	LRR-RLK	LOC_Os02g01800	NA	Downregulated by MB	TRUE	48.6022316516307	-1.46202469459555	0.365146148225849	-4.00394390492451	6.22951419722168e-05	0.000558845105393022
Root	Biggs	LRR-RLK	LOC_Os02g02490	NA	Upregulated by MB	TRUE	807.78145168157	0.985408282352791	0.233930163941229	4.21240367531379	2.52667474003324e-05	0.000255416596638539
Root	Biggs	NLR	LOC_Os02g05686	NA	Upregulated by MB	FALSE	247.209467786921	0.57652284621777	0.142028608550769	4.0592022417208	4.92406530068476e-05	0.00045584139504014
Root	Biggs	LRR-RLK	LOC_Os02g05910	NA	Upregulated by MB	FALSE	76.3393203792702	1.24427821890015	0.418471893014229	2.97338540454339	0.00294534365512632	0.0146730549436656
Root	Biggs	LRR-RLK	LOC_Os02g05950	NA	Downregulated by MB	TRUE	521.161278516245	-0.87655745576171	0.260361243013636	-3.36669715359978	0.000760741819437327	0.00474445507763473
Root	Biggs	LRR-RLK	LOC_Os02g05960	NA	Downregulated by MB	TRUE	121.194455370893	-0.930852229046599	0.28037764864811	-3.31999442015035	0.000900192473324691	0.0054621511379269
Root	Biggs	LRR-RLK	LOC_Os02g05980	LRK1	Downregulated by MB	TRUE	895.515053777009	-0.498606367375071	0.144231924776759	-3.45697645057992	0.00054627258485288	0.0035895925616247
Root	Biggs	LRR-RLK	LOC_Os02g07960	NA	Upregulated by MB	TRUE	3768.48008565664	1.84760789006133	0.15667207013937	11.7928351136087	4.24989290858532e-32	2.56684489353216e-29
Root	Biggs	LRR-RLK	LOC_Os02g09740	NA	Downregulated by MB	FALSE	218.091403547474	-1.06397730400862	0.327664756239519	-3.24715210820803	0.00116566073690808	0.0067820478250891
Root	Biggs	NLR	LOC_Os02g09790	NA	Downregulated by MB	TRUE	55.9119571429172	-0.751359958010605	0.214881891551121	-3.49661831709935	0.000471195486554819	0.00316063947940256
Root	Biggs	LRR-RLK	LOC_Os02g11980	NA	Downregulated by MB	TRUE	76.2130965652351	-1.57835072199788	0.30656528579188	-5.14849787353088	2.62580762583438e-07	4.47501307231702e-06
Root	Biggs	LRR-RLK	LOC_Os02g12010	NA	Downregulated by MB	TRUE	42.8723040848915	-1.29567964841198	0.399142660183174	-3.24615676965566	0.00116974405310317	0.00680255212416818
Root	Biggs	LRR-RLK	LOC_Os02g12030	NA	Downregulated by MB	FALSE	5.02918219315498	-3.82981642598093	0.94903121557839	-4.03550100683131	5.44859059613449e-05	0.00049706205008828
Root	Biggs	LRR-RLK	LOC_Os02g13430	NA	Downregulated by MB	TRUE	49.0393842741989	-2.01420405889043	0.398333029994465	-5.05658307802999	4.26834973225865e-07	6.88050220611166e-06
Root	Biggs	LRR-RLK	LOC_Os02g13510	NA	Downregulated by MB	TRUE	8590.97677279613	-0.993486628307328	0.20671539885758	-4.80606008936861	1.53933650846109e-06	2.17256983320112e-05
Root	Biggs	LRR-RLK	LOC_Os02g13850	NA	Upregulated by MB	TRUE	1937.81400960363	1.16262250629015	0.119703731840116	9.71250009016443	2.66713390121821e-22	4.93773456873139e-20
Root	Biggs	LRR-RLK	LOC_Os02g14120	Docs1	Upregulated by MB	TRUE	1261.16220152914	0.288460011629291	0.109141860248522	2.64298236233515	0.00821793160416068	0.0340227162538613
Root	Biggs	LRR-RLK	LOC_Os02g14480	NA	Downregulated by MB	TRUE	556.863486064883	-1.48516591257922	0.238048731479667	-6.23891546637408	4.40615007934089e-10	1.32646726102368e-08
Root	Biggs	NLR	LOC_Os02g16060	NA	Downregulated by MB	FALSE	287.550386838552	-0.90075187225681	0.357325606476647	-2.52081534580892	0.0117083275477336	0.0451479684080843
