Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	KC683152.1.1489	Enriched in SG	60.5610399881851	-5.04605817751372	1.10400150669654	-4.51262832838838	6.40291694979291e-06	6.81013175162074e-05
Arbuckle	JF832310.1.1460	Enriched in SI	7.14866985447299	7.44640367305872	1.59616226076961	4.46487073259896	8.01171086613614e-06	8.27876789500734e-05
Arbuckle	JN868790.1.1523	Enriched in SG	3.09456459805874	-5.49212221447404	1.8086127547462	-2.99003338046525	0.00278946961640365	0.0136362149324963
Arbuckle	KR088549.1.1526	Enriched in SI	234.201066273198	7.6626160885424	0.700295349964753	10.8560780541077	1.8659186840679e-27	1.18579132372515e-24
Arbuckle	BBFQ01000411.36.1560	Enriched in SI	732.972250063377	5.27281609837319	1.08436124188772	4.82136157500613	1.42581646338793e-06	1.81221272496606e-05
Arbuckle	HE804578.1.1477	Enriched in SG	359.626788438788	-8.26962222986602	1.23781725019031	-6.63528560102984	3.23874814317826e-11	1.11255375404853e-09
Arbuckle	FPLP01003998.13.1512	Enriched in SG	281.135383572371	-8.63682441238786	1.24337096836762	-6.8090747412207	9.82284402955851e-12	4.45886955770317e-10
Arbuckle	AGTN01029961.1048.2511	Enriched in SG	7.55327637947086	-5.63691640690772	1.79822822924741	-3.09502214473997	0.00196798203199596	0.0102512506666675
Arbuckle	KP232912.1.1527	Enriched in SI	11.3598293796214	7.61603738215567	1.0855538516662	6.80531797273996	1.00826290499406e-11	4.49649877981564e-10
Arbuckle	KT922009.1.1535	Enriched in SI	2.49223667853242	5.6236554722194	1.72281581891058	3.15553588131386	0.00160203559791066	0.00857341997871346
Arbuckle	AY218740.1.1501	Enriched in SI	15.5611611146436	6.76572530425702	1.18129105500195	5.62661655049513	1.83778629532816e-08	3.64972872087827e-07
Arbuckle	FPLL01003591.16.1518	Enriched in SI	18.4377355569837	6.96421609519998	1.11374486031713	6.02730087791248	1.66720460182364e-09	4.2300743125503e-08
Arbuckle	DQ984574.1.1503	Enriched in SI	0.987915068429708	4.34613109106775	1.69616998113077	2.4926898241577	0.0126779543087057	0.0490365728236316
Arbuckle	FPLS01042937.16.1489	Enriched in SG	6.97248147696901	-4.07718100251694	1.10901737240189	-3.64418683578698	0.000268238518803182	0.0017943745126255
Arbuckle	KF770896.1.1408	Enriched in SI	1.89343970569482	3.95158973109567	1.4275013342671	2.7431480518314	0.00608532420056364	0.0269963248129717
Arbuckle	KC554190.1.1550	Enriched in SI	24.2358343197797	3.99723310834991	0.903505904587911	4.3741844927424	1.21887266138475e-05	0.000120559311487939
