Treatment	Soil	OTU_ID	Direction	baseMean	log2FoldChange_BSvsES	stderror	statistic	p.value	p.adjusted
Soil grown	Arbuckle	FCPU426	Enriched in ES	0.0600861358344335	0	1.80710024728755	0	1	1
Soil grown	Arbuckle	Fibrobacteres	Enriched in ES	253.711363051873	-8.43935636400599	0.766625569644999	-10.9453381287089	6.99562148218902e-28	2.37851130394427e-26
Soil grown	Arbuckle	Firmicutes	Enriched in by BS	294.763562287559	1.74246438220894	0.597841818308707	2.90886130573748	0.00362747748541679	0.00908778570030733
Soil grown	Arbuckle	Gammaproteobacteria	Enriched in ES	10745.9616569186	-1.98306077964958	0.359717782989666	-5.51551020732126	3.47769558005954e-08	1.97069416203374e-07
Soil grown	Arbuckle	Gemmatimonadetes	Enriched in by BS	221.533361391866	3.31103429260142	0.496370207623064	6.68049115066906	2.38142762631718e-11	1.95441301746031e-10
Soil grown	Arbuckle	Hydrogenedentes	Enriched in by BS	0.422464973328125	2.18442023563328	2.05870913141183	0.917485710643486	0.358888177366789	0.589071629057213
Soil grown	Arbuckle	Kiritimatiellaeota	Enriched in ES	0.0388498291509328	-0.329286810534011	1.8069702213749	-0.214393220718042	0.830240427849781	1
Soil grown	Arbuckle	Latescibacteria	Enriched in by BS	4.07043210333057	2.87581586698111	0.68447340579417	4.16665998073774	3.09094998945495e-05	0.000108183249630923
Soil grown	Arbuckle	Lentisphaerae	Enriched in ES	0.045099644599632	0	1.80591539233059	0	1	1
Soil grown	Arbuckle	Nanoarchaeaeota	Enriched in ES	0.906980438104078	-0.655742887826801	1.56891163715243	-0.415695262148847	0.677633008601023	0.91901277769228
Soil grown	Arbuckle	Nitrospirae	Enriched in by BS	6.05934628924324	2.97183204640012	0.639940076109175	4.60442416904166	4.13608689565345e-06	1.75783693065272e-05
Soil grown	Arbuckle	Omnitrophicaeota	Enriched in ES	0.629807114110991	-1.55192406593212	1.4833879775921	-1.04456460118643	0.296224247322881	0.496488527203139
Soil grown	Arbuckle	Patescibacteria	Enriched in ES	11.5255579468483	-2.14683190534818	0.785954729255059	-2.7315577060736	0.00630357009151078	0.0150024968177957
Soil grown	Arbuckle	Planctomycetes	Enriched in by BS	166.434119932349	3.24200278698036	0.382414563918904	8.47923909648098	2.26671437777279e-17	3.37173763693703e-16
Soil grown	Arbuckle	Rokubacteria	Enriched in by BS	6.60124554757133	5.43491275609559	0.763710582892126	6.88041748550563	5.96774052546918e-12	5.46277786562178e-11
Soil grown	Arbuckle	Spirochaetes	Enriched in by BS	0.348873305358939	1.96581707402563	2.0585050965471	0.836984827004451	0.402601096830724	0.643080946615519
Soil grown	Arbuckle	Synergistetes	Enriched in ES	0.0685576727257792	-0.305019063331091	1.80681358836472	-0.214397588888803	0.830237021741803	1
Soil grown	Arbuckle	Thaumarchaeota	Enriched in by BS	7.18430611539531	5.80080493432031	0.991263801628489	5.65140740195694	1.59139409409292e-08	9.96715248405567e-08
Soil grown	Arbuckle	Verrucomicrobia	Enriched in by BS	360.075867470799	0.833074224433506	0.523304884561643	1.59195360949439	0.111395128526499	0.203938773763898
Soil grown	Arbuckle	WPS-2	Enriched in ES	2.16278699442347	-0.872029888761903	1.85458018106579	-0.569862585633329	0.568770902847938	0.810583681903049
Soil grown	Arbuckle	WS1	Enriched in ES	0.0178426687931618	0	1.80610620587226	0	1	1
Soil grown	Arbuckle	WS2	Enriched in by BS	0.174732977099252	0.986697166108656	2.05134941242741	0.445711688096661	0.655805520613337	0.912657826944228
Soil grown	Arbuckle	WS4	Enriched in by BS	0.548404498924966	1.98716677977904	1.73693647879462	1.135500333968	0.256165742052775	0.44179309136638
Soil grown	Arbuckle	Zixibacteria	Enriched in ES	0.0136719206328027	0	1.80608616024576	0	1	1
Soil grown	Biggs	Acidobacteria	Enriched in by BS	722.73670687521	2.67355801756126	0.261840222933178	10.2146403513786	1.70510282601159e-24	4.50904969545286e-23
Soil grown	Biggs	Actinobacteria	Enriched in by BS	5595.67843079171	0.0565297983284299	0.590996334424267	0.0921232113264888	0.926600146894967	1
Soil grown	Biggs	Alphaproteobacteria	Enriched in ES	2578.76762311756	-0.757678373075558	0.410497578193461	-1.84647585635247	0.0648231418568892	0.130744981033387
Soil grown	Biggs	Armatimonadetes	Enriched in by BS	28.9712327126442	0.284977049210837	0.592143269414729	0.488106816552709	0.625474183048722	0.875663856268211
Soil grown	Biggs	Bacteroidetes	Enriched in ES	884.830902706221	-0.471113688457066	0.430251293106852	-1.10527458100786	0.269040628717371	0.45736906881953
Soil grown	Biggs	BRC1	Enriched in by BS	3.85436563065642	2.84330483368881	0.809975082247882	3.48128433333285	0.000499015460094562	0.00143091180123501
Soil grown	Biggs	Chloroflexi	Enriched in by BS	553.668182051782	1.35134579713507	0.444822695905653	3.03884169294229	0.00237489614844832	0.00628028092589666
Soil grown	Biggs	Cloacimonetes	Enriched in ES	0.346577986044287	-0.738335732859378	2.03258359635464	-0.273689658837371	0.784323125486776	0.987666158020385
Soil grown	Biggs	Crenarchaeota	Enriched in by BS	2.91551117129188	4.38405844873624	1.10823210372058	3.8631925803421	0.0001119147095341	0.000369940289848831
Soil grown	Biggs	Cyanobacteria	Enriched in by BS	11.0543683066936	2.27429345269282	1.07490704864399	2.11604873358779	0.0343406630076394	0.0756766462575757
Soil grown	Biggs	Deinococcus-Thermus	Enriched in by BS	1.54042654408956	0.225473933771718	1.89792501322358	0.0874755701241892	0.930293503198038	1
Soil grown	Biggs	Deltaproteobacteria	Enriched in ES	2405.36382739845	-2.78149337123736	0.532892294679871	-5.20806679566166	1.90818238809259e-07	9.87276974708775e-07
Soil grown	Biggs	Dependentiae	Enriched in by BS	0.880224930410204	1.11159570085195	1.6322977060841	0.673859738398954	0.500400491038397	0.739722465013282
Soil grown	Biggs	Elusimicrobia	Enriched in by BS	2.74790878602469	2.35284231269241	0.75805601262481	3.06740352898681	0.00215927146102612	0.0057742315474631
Soil grown	Biggs	Entotheonellaeota	Enriched in ES	0.0933004908420024	0	1.8356806883339	0	1	1
Soil grown	Biggs	Epsilonbacteraeota	Enriched in by BS	0.574494702110856	1.19288471139956	1.83392778450884	0.645727958603419	0.518455550660802	0.75005678246571
Soil grown	Biggs	Euryarchaeota	Enriched in by BS	10.7740974382325	5.22585329511953	1.20495759341088	4.26315289324422	2.01562501274929e-05	7.15998138857209e-05
Soil grown	Biggs	FBP	Enriched in ES	0.208255569947227	-0.00578020677335705	2.05460437789192	-0.0219854484684036	0.982459563173544	1
Soil grown	Biggs	FCPU426	Enriched in by BS	0.0600861358344335	0.476334253813715	1.80885073542697	0.232214257051612	0.816371604861436	1
Soil grown	Biggs	Fibrobacteres	Enriched in ES	253.711363051873	-5.96008794287457	0.771497470458553	-7.6928921709626	1.4384573903806e-14	1.59875081451376e-13
Soil grown	Biggs	Firmicutes	Enriched in by BS	294.763562287559	0.97284733143519	0.595252853588949	1.6318026342049	0.102721070233462	0.197158183190032
Soil grown	Biggs	Gammaproteobacteria	Enriched in ES	10745.9616569186	-2.30882230414271	0.359710253394084	-6.42028909077218	1.3601579561455e-10	9.80962404735243e-10
Soil grown	Biggs	Gemmatimonadetes	Enriched in by BS	221.533361391866	4.25075283265287	0.513531125425854	8.26954064028862	1.3447613058598e-16	1.88266582820372e-15
Soil grown	Biggs	Hydrogenedentes	Enriched in ES	0.422464973328125	0	2.05639350217165	0	1	1
Soil grown	Biggs	Latescibacteria	Enriched in by BS	4.07043210333057	2.4138533839725	0.745582872253209	3.1982932757868	0.00138243609730758	0.00387082107246122
Soil grown	Biggs	Nanoarchaeaeota	Enriched in by BS	0.906980438104078	0.501395773007927	1.57502309420867	0.324383317345222	0.745647848331562	0.964479282081042
Soil grown	Biggs	Nitrospirae	Enriched in by BS	6.05934628924324	0.990770727632537	0.608652023215009	1.62087734084837	0.105043947325936	0.198416344948991
Soil grown	Biggs	Omnitrophicaeota	Enriched in ES	0.629807114110991	-1.36031793237055	1.48405366919585	-0.910162846566522	0.362736634762475	0.591310404612801
Soil grown	Biggs	Patescibacteria	Enriched in by BS	11.5255579468483	1.28979545208496	0.802307535086345	1.60547182581386	0.10839000867819	0.201504376292336
Soil grown	Biggs	Planctomycetes	Enriched in by BS	166.434119932349	2.16501444416903	0.382328151433821	5.66273935188212	1.48975361906821e-08	9.58273949562793e-08
Soil grown	Biggs	Rokubacteria	Enriched in by BS	6.60124554757133	2.90189347258758	0.893739010467301	3.1076679484679	0.00188569806798256	0.00515857632390632
Soil grown	Biggs	Spirochaetes	Enriched in by BS	0.348873305358939	0.784010976492916	2.05800596244051	0.363323114567079	0.716363528468474	0.941958672792799
Soil grown	Biggs	Synergistetes	Enriched in ES	0.0685576727257792	0	1.80543072376419	0	1	1
Soil grown	Biggs	Thaumarchaeota	Enriched in by BS	7.18430611539531	3.11166446768546	1.11719230288662	2.78920537375713	0.00528375471696715	0.0128319757412059
Soil grown	Biggs	Verrucomicrobia	Enriched in ES	360.075867470799	-0.679704454398424	0.522639495176218	-1.30038833224776	0.19346790686335	0.346205728071259
Soil grown	Biggs	WPS-2	Enriched in by BS	2.16278699442347	3.95026688351881	1.77705773178091	2.04130385927355	0.0412206337150828	0.0891864620380882
Soil grown	Biggs	WS2	Enriched in ES	0.174732977099252	0	2.04743671589897	0	1	1
Soil grown	Biggs	WS4	Enriched in by BS	0.548404498924966	2.0375154694983	1.73722556998814	1.15506879087549	0.248062257313376	0.430940271829077
Soil grown	Davis	Acidobacteria	Enriched in by BS	722.73670687521	2.52597233632848	0.263905749152175	9.57253630513622	1.04314641754233e-21	2.2569895215916e-20
